0.0001 6
0.0002 10
0.0003 18
0.0004 36
0.0005 119
0.0006 647
0.0007 957
0.0008 1236
0.0009 1482
0.001 1587
0.0011 1703
0.0012 1770
0.0013 1818
0.0014 1857
0.0015 1879
0.0016 1892
0.0017 1919
0.0018 1949
0.0019 1961
0.002 1959
0.0021 1969
0.0022 1984
0.0023 1977
0.0024 1985
0.0025 1983
0.0026 1983
0.0027 1995
0.0028 1989
0.0029 1995
0.003 1995
0.0031 1996
0.0032 1998
0.0033 1998
0.0034 2000
0.0035 1998
0.0036 1999
0.0037 1999
0.0038 1998
0.0039 2000
0.004 2000
0.0041 2000
0.0042 2000
0.0043 2000
0.0044 2000
0.0045 1999
0.0046 2000
0.0047 1999
0.0048 2000
0.0049 2000
0.005 1999
